time	V(n001)	V(n002)	I(R1)
0.000000000000000e+000	1.200000e+001	-6.000000e+000	2.508862e-011
5.714285394071390e-011	1.200001e+001	-5.998396e+000	-6.640227e-008
1.142857078814278e-010	1.200003e+001	-5.996753e+000	-2.603839e-007
1.714285618221417e-010	1.200006e+001	-5.995073e+000	-5.819197e-007
2.285714157628556e-010	1.200010e+001	-5.993353e+000	-1.031010e-006
2.857142697035695e-010	1.200016e+001	-5.991596e+000	-1.607654e-006
3.428571236442834e-010	1.200023e+001	-5.989800e+000	-2.311853e-006
3.999999775849972e-010	1.200031e+001	-5.987966e+000	-3.143605e-006
7.999999551699943e-010	1.200125e+001	-5.974056e+000	-1.246037e-005
1.599999910339989e-009	1.200491e+001	-5.940657e+000	-4.906535e-005
3.199999820679977e-009	1.201906e+001	-5.851819e+000	-1.905635e-004
6.399999641359955e-009	1.206704e+001	-5.607630e+000	-6.703980e-004
1.000000000000000e-008	1.214039e+001	-5.265345e+000	-1.403869e-003
1.108000010759202e-008	1.216837e+001	-5.168573e+000	-1.683728e-003
1.252000025104803e-008	1.220378e+001	-5.041205e+000	-2.037847e-003
1.540000053796007e-008	1.226826e+001	-4.792281e+000	-2.682565e-003
2.116000111178415e-008	1.237664e+001	-4.314839e+000	-3.766422e-003
3.092562611178414e-008	1.251799e+001	-3.551916e+000	-5.179943e-003
4.069125111178414e-008	1.261641e+001	-2.843047e+000	-6.164131e-003
5.045687611178414e-008	1.267758e+001	-2.189821e+000	-6.775775e-003
6.022250111178414e-008	1.271143e+001	-1.587349e+000	-7.114269e-003
6.998812611178414e-008	1.272544e+001	-1.031275e+000	-7.254391e-003
7.975375111178414e-008	1.272520e+001	-5.176980e-001	-7.252044e-003
8.951937611178414e-008	1.271488e+001	-4.310931e-002	-7.148820e-003
9.928500111178414e-008	1.269755e+001	3.956608e-001	-6.975527e-003
1.090506261117841e-007	1.267549e+001	8.014856e-001	-6.754904e-003
1.188162511117841e-007	1.265037e+001	1.176978e+000	-6.503661e-003
1.285818761117841e-007	1.262340e+001	1.524519e+000	-6.234026e-003
1.383475011117841e-007	1.259549e+001	1.846286e+000	-5.954893e-003
1.481131261117841e-007	1.256727e+001	2.144273e+000	-5.672689e-003
1.578787511117841e-007	1.253920e+001	2.420305e+000	-5.392009e-003
1.676443761117841e-007	1.251161e+001	2.676061e+000	-5.116102e-003
1.774100011117841e-007	1.248472e+001	2.913084e+000	-4.847215e-003
1.871756261117841e-007	1.245869e+001	3.132790e+000	-4.586861e-003
1.969412511117841e-007	1.243360e+001	3.336487e+000	-4.335949e-003
2.067068761117841e-007	1.240927e+001	3.525353e+000	-4.092728e-003
2.164725011117841e-007	1.238022e+001	3.699944e+000	-3.802187e-003
2.262381261117841e-007	1.229030e+001	3.855588e+000	-2.903026e-003
2.360037511117841e-007	1.197130e+001	3.975771e+000	2.870306e-004
2.457693761117841e-007	1.127581e+001	4.044974e+000	7.241865e-003
2.555350011117842e-007	1.030465e+001	4.072627e+000	1.695353e-002
2.653006261117842e-007	9.296206e+000	4.083253e+000	2.703794e-002
2.750662511117842e-007	8.376418e+000	4.090230e+000	3.623582e-002
2.848318761117842e-007	7.563808e+000	4.095576e+000	4.436191e-002
2.945975011117843e-007	6.857922e+000	4.099525e+000	5.142078e-002
3.043631261117843e-007	6.255120e+000	4.102396e+000	5.744880e-002
3.141287511117843e-007	5.747717e+000	4.104452e+000	6.252283e-002
3.238943761117843e-007	5.324986e+000	4.105936e+000	6.675014e-002
3.336600011117844e-007	4.974221e+000	4.107056e+000	7.025779e-002
3.434256261117844e-007	4.682054e+000	4.107976e+000	7.317947e-002
3.531912511117844e-007	4.435711e+000	4.108808e+000	7.564288e-002
3.629568761117844e-007	4.224008e+000	4.109614e+000	7.775992e-002
3.824881261117845e-007	3.870398e+000	4.111241e+000	8.129601e-002
4.117850011117846e-007	3.436522e+000	4.113709e+000	8.563478e-002
4.299211618260703e-007	3.203639e+000	4.115220e+000	8.796361e-002
4.480573225403561e-007	2.975660e+000	4.116716e+000	9.024340e-002
4.661934832546419e-007	2.752585e+000	4.118199e+000	9.247415e-002
4.843296439689276e-007	2.534414e+000	4.119668e+000	9.465586e-002
5.024658046832134e-007	2.321146e+000	4.121124e+000	9.678854e-002
5.206019653974992e-007	2.112782e+000	4.122566e+000	9.887218e-002
5.387381261117849e-007	1.909321e+000	4.123993e+000	1.009068e-001
5.596644653974993e-007	1.671392e+000	4.125614e+000	1.032861e-001
5.805908046832136e-007	1.433979e+000	4.127253e+000	1.056602e-001
6.015171439689279e-007	1.197083e+000	4.128911e+000	1.080292e-001
6.224434832546423e-007	9.607021e-001	4.130588e+000	1.103930e-001
6.433698225403567e-007	7.248378e-001	4.132283e+000	1.127516e-001
6.642961618260710e-007	4.894896e-001	4.133997e+000	1.151051e-001
6.852225011117853e-007	2.546576e-001	4.135730e+000	1.174534e-001
6.949881261117853e-007	1.477801e-001	4.138097e+000	1.185222e-001
7.004320544729478e-007	9.612805e-002	4.143917e+000	1.190387e-001
7.036633924095599e-007	7.559921e-002	4.153091e+000	1.192440e-001
7.080530101097613e-007	5.950221e-002	4.172130e+000	1.194050e-001
7.104572916412858e-007	5.345806e-002	4.184016e+000	1.194654e-001
7.140276858156763e-007	4.689565e-002	4.202797e+000	1.195310e-001
7.196092976046189e-007	3.918414e-002	4.233155e+000	1.196082e-001
7.257551942005473e-007	3.302073e-002	4.267234e+000	1.196698e-001
7.335332222842533e-007	2.751169e-002	4.310615e+000	1.197249e-001
7.420711014265084e-007	2.322325e-002	4.357905e+000	1.197678e-001
7.518367264265084e-007	1.973226e-002	4.411124e+000	1.198027e-001
7.616023514265084e-007	1.718267e-002	4.463141e+000	1.198282e-001
7.713679764265084e-007	1.527084e-002	4.513767e+000	1.198473e-001
7.811336014265085e-007	1.378827e-002	4.562933e+000	1.198621e-001
7.908992264265085e-007	1.260727e-002	4.610614e+000	1.198739e-001
8.006648514265085e-007	1.164547e-002	4.656815e+000	1.198835e-001
8.104304764265085e-007	1.084782e-002	4.701554e+000	1.198915e-001
8.201961014265086e-007	1.017608e-002	4.744859e+000	1.198982e-001
8.299617264265086e-007	9.603009e-003	4.786762e+000	1.199040e-001
8.494929764265086e-007	8.678069e-003	4.866510e+000	1.199132e-001
8.690242264265087e-007	7.965285e-003	4.941100e+000	1.199203e-001
8.885554764265087e-007	7.400359e-003	5.010837e+000	1.199260e-001
9.178523514265088e-007	6.745033e-003	5.106994e+000	1.199325e-001
9.471492264265089e-007	6.248638e-003	5.193854e+000	1.199375e-001
9.722608335693661e-007	5.933926e-003	5.260540e+000	1.199407e-001
9.973724407122234e-007	5.653957e-003	5.322622e+000	1.199435e-001
1.022484047855081e-006	5.408731e-003	5.380103e+000	1.199459e-001
1.047595654997938e-006	5.198248e-003	5.432980e+000	1.199480e-001
1.072707262140795e-006	5.022507e-003	5.481256e+000	1.199498e-001
1.097818869283652e-006	4.881510e-003	5.524929e+000	1.199512e-001
1.122930476426509e-006	4.775255e-003	5.563999e+000	1.199522e-001
1.148042083569367e-006	4.671608e-003	5.600100e+000	1.199533e-001
1.173153690712224e-006	4.577221e-003	5.633705e+000	1.199542e-001
1.198265297855081e-006	4.492093e-003	5.664815e+000	1.199551e-001
1.223376904997938e-006	4.416226e-003	5.693428e+000	1.199558e-001
1.248488512140795e-006	4.349618e-003	5.719546e+000	1.199565e-001
1.273600119283653e-006	4.292269e-003	5.743168e+000	1.199571e-001
1.298711726426510e-006	4.244181e-003	5.764294e+000	1.199576e-001
1.323823333569367e-006	4.199442e-003	5.783816e+000	1.199580e-001
1.348934940712224e-006	4.158262e-003	5.801988e+000	1.199584e-001
1.374046547855082e-006	4.120641e-003	5.818810e+000	1.199588e-001
1.399158154997939e-006	4.086580e-003	5.834281e+000	1.199591e-001
1.424269762140796e-006	4.056077e-003	5.848403e+000	1.199594e-001
1.449381369283653e-006	4.029134e-003	5.861174e+000	1.199597e-001
1.474492976426510e-006	4.005750e-003	5.872594e+000	1.199599e-001
1.499604583569368e-006	3.984131e-003	5.883148e+000	1.199602e-001
1.524716190712225e-006	3.964127e-003	5.892972e+000	1.199604e-001
1.549827797855082e-006	3.945736e-003	5.902065e+000	1.199605e-001
1.574939404997939e-006	3.928959e-003	5.910429e+000	1.199607e-001
1.600051012140796e-006	3.913796e-003	5.918062e+000	1.199609e-001
1.625162619283654e-006	3.900247e-003	5.924965e+000	1.199610e-001
1.650274226426511e-006	3.888311e-003	5.931138e+000	1.199611e-001
1.675385833569368e-006	3.877287e-003	5.936843e+000	1.199612e-001
1.700497440712225e-006	3.867057e-003	5.942153e+000	1.199613e-001
1.725609047855082e-006	3.857622e-003	5.947068e+000	1.199614e-001
1.750720654997940e-006	3.848982e-003	5.951588e+000	1.199615e-001
1.775832262140797e-006	3.841137e-003	5.955714e+000	1.199616e-001
1.800943869283654e-006	3.834087e-003	5.959445e+000	1.199617e-001
1.826055476426511e-006	3.827831e-003	5.962782e+000	1.199617e-001
1.851167083569368e-006	3.822053e-003	5.965865e+000	1.199618e-001
1.876278690712226e-006	3.816684e-003	5.968735e+000	1.199618e-001
1.901390297855083e-006	3.811724e-003	5.971392e+000	1.199619e-001
1.926501904997940e-006	3.807172e-003	5.973835e+000	1.199619e-001
1.951613512140797e-006	3.803029e-003	5.976065e+000	1.199620e-001
1.976725119283655e-006	3.799295e-003	5.978082e+000	1.199620e-001
2.001836726426512e-006	3.795970e-003	5.979885e+000	1.199620e-001
2.026948333569369e-006	3.792898e-003	5.981552e+000	1.199621e-001
2.052059940712226e-006	3.790041e-003	5.983103e+000	1.199621e-001
2.077171547855083e-006	3.787399e-003	5.984539e+000	1.199621e-001
2.102283154997941e-006	3.784973e-003	5.985859e+000	1.199622e-001
2.127394762140798e-006	3.782761e-003	5.987064e+000	1.199622e-001
2.152506369283655e-006	3.780765e-003	5.988154e+000	1.199622e-001
2.177617976426512e-006	3.778984e-003	5.989129e+000	1.199622e-001
2.202729583569369e-006	3.777338e-003	5.990029e+000	1.199622e-001
2.227841190712227e-006	3.775807e-003	5.990868e+000	1.199622e-001
2.252952797855084e-006	3.774391e-003	5.991644e+000	1.199623e-001
2.278064404997941e-006	3.773089e-003	5.992357e+000	1.199623e-001
2.303176012140798e-006	3.771902e-003	5.993009e+000	1.199623e-001
2.328287619283656e-006	3.770829e-003	5.993598e+000	1.199623e-001
2.353399226426513e-006	3.769871e-003	5.994124e+000	1.199623e-001
2.378510833569370e-006	3.768986e-003	5.994611e+000	1.199623e-001
2.403622440712227e-006	3.768162e-003	5.995064e+000	1.199623e-001
2.428734047855084e-006	3.767400e-003	5.995484e+000	1.199623e-001
2.453845654997942e-006	3.766699e-003	5.995869e+000	1.199623e-001
2.478957262140799e-006	3.766059e-003	5.996221e+000	1.199623e-001
2.504068869283656e-006	3.765482e-003	5.996540e+000	1.199623e-001
2.529180476426513e-006	3.764965e-003	5.996824e+000	1.199623e-001
2.554292083569370e-006	3.764488e-003	5.997088e+000	1.199624e-001
2.579403690712228e-006	3.764044e-003	5.997333e+000	1.199624e-001
2.604515297855085e-006	3.763633e-003	5.997559e+000	1.199624e-001
2.629626904997942e-006	3.763255e-003	5.997768e+000	1.199624e-001
2.654738512140799e-006	3.762910e-003	5.997958e+000	1.199624e-001
2.679850119283657e-006	3.762598e-003	5.998130e+000	1.199624e-001
2.704961726426514e-006	3.762319e-003	5.998284e+000	1.199624e-001
2.730073333569371e-006	3.762062e-003	5.998426e+000	1.199624e-001
2.755184940712228e-006	3.761822e-003	5.998558e+000	1.199624e-001
2.780296547855085e-006	3.761600e-003	5.998681e+000	1.199624e-001
2.805408154997943e-006	3.761396e-003	5.998793e+000	1.199624e-001
2.830519762140800e-006	3.761210e-003	5.998896e+000	1.199624e-001
2.855631369283657e-006	3.761042e-003	5.998989e+000	1.199624e-001
2.880742976426514e-006	3.760891e-003	5.999073e+000	1.199624e-001
2.907249672855085e-006	3.760745e-003	5.999153e+000	1.199624e-001
2.933756369283657e-006	3.760609e-003	5.999228e+000	1.199624e-001
2.960263065712229e-006	3.760484e-003	5.999297e+000	1.199624e-001
2.986769762140800e-006	3.760370e-003	5.999360e+000	1.199624e-001
3.013276458569372e-006	3.760266e-003	5.999418e+000	1.199624e-001
3.039783154997943e-006	3.760172e-003	5.999470e+000	1.199624e-001
3.066289851426514e-006	3.760089e-003	5.999516e+000	1.199624e-001
