time	V(n002)	V(n003)	I(Rload)
0.000000000000000e+000	1.200000e+001	-5.143596e-002	2.542512e-011
9.765624452758720e-014	1.200000e+001	-5.143558e-002	2.541566e-011
1.953124890551744e-013	1.200000e+001	-5.143519e-002	2.540010e-011
3.906249781103488e-013	1.200000e+001	-5.143441e-002	2.534392e-011
7.812499562206976e-013	1.200000e+001	-5.143273e-002	2.512838e-011
1.562499912441395e-012	1.200000e+001	-5.142903e-002	2.427790e-011
3.124999824882790e-012	1.200000e+001	-5.142074e-002	2.088815e-011
6.249999649765581e-012	1.200000e+001	-5.140266e-002	7.233164e-012
1.249999929953116e-011	1.200000e+001	-5.136452e-002	-4.818323e-011
2.499999859906232e-011	1.200000e+001	-5.128608e-002	-2.733276e-010
4.999999719812465e-011	1.200000e+001	-5.112805e-002	-1.179807e-009
9.999999439624929e-011	1.200000e+001	-5.081780e-002	-4.754739e-009
1.999999887924986e-010	1.200002e+001	-5.021963e-002	-1.848829e-008
3.999999775849972e-010	1.200007e+001	-4.905206e-002	-7.008582e-008
7.999999551699943e-010	1.200026e+001	-4.667282e-002	-2.604588e-007
1.599999910339989e-009	1.200094e+001	-4.157556e-002	-9.423483e-007
3.199999820679977e-009	1.200315e+001	-3.033969e-002	-3.149949e-006
5.553763649456844e-009	1.200767e+001	-1.222919e-002	-7.665552e-006
7.394647375875258e-009	1.201201e+001	3.000567e-003	-1.200650e-005
8.528403599667419e-009	1.201503e+001	1.319159e-002	-1.502604e-005
9.189576950284077e-009	1.201695e+001	2.137448e-002	-1.694965e-005
9.542441792624610e-009	1.201817e+001	3.366832e-002	-1.816703e-005
9.737394452517373e-009	1.201908e+001	5.491116e-002	-1.907557e-005
9.805343367732499e-009	1.201956e+001	7.298715e-002	-1.955584e-005
9.869213972913406e-009	1.202019e+001	9.732394e-002	-2.018518e-005
9.908322754037417e-009	1.202065e+001	1.116657e-001	-2.065005e-005
9.921782437751978e-009	1.202083e+001	1.158502e-001	-2.082928e-005
9.948701805181102e-009	1.202121e+001	1.228115e-001	-2.121439e-005
1.000000000000000e-008	1.202198e+001	1.343995e-001	-2.197784e-005
1.000512981948189e-008	1.202206e+001	1.352407e-001	-2.205842e-005
1.001538945844567e-008	1.202222e+001	1.368239e-001	-2.222062e-005
1.003590873637323e-008	1.202255e+001	1.395693e-001	-2.254929e-005
1.007694729222835e-008	1.202322e+001	1.438220e-001	-2.321819e-005
1.015902440393859e-008	1.202458e+001	1.496975e-001	-2.457628e-005
1.029202939068137e-008	1.202679e+001	1.561034e-001	-2.678923e-005
1.043365906279584e-008	1.202913e+001	1.610197e-001	-2.912746e-005
1.063103508979580e-008	1.203232e+001	1.658524e-001	-3.232117e-005
1.079809284481766e-008	1.203494e+001	1.670235e-001	-3.493979e-005
1.089474553089113e-008	1.203638e+001	1.627481e-001	-3.637899e-005
